run,final_val_acc,total_time_seconds
0,0.6681999564170837,6.994773757934571
1,0.526699960231781,1.755269953608513
2,0.6657999753952026,1.755492360830307
3,0.6633999943733215,1.7566860280036927
4,0.6783999800682068,1.7548755321502687
5,0.7003999948501587,1.7569529728889466
6,0.3870999813079834,1.75354137134552
7,0.5496999621391296,1.7541875234842301
8,0.6133999824523926,1.755719061970711
9,0.6949999928474426,1.7523965259790422
10,0.6155999898910522,1.7520667186975478
11,0.47209998965263367,1.749459795832634
12,0.6570000052452087,1.7522487128973008
13,0.3919000029563904,1.752854388475418
14,0.7198999524116516,1.753770627737045
15,0.6065999865531921,1.7509012209177017
16,0.48249998688697815,1.7507329150438307
17,0.6298999786376953,1.7531291619539264
18,0.5644999742507935,1.8169101984500884
19,0.5794000029563904,1.7503244378566742
20,0.6060999631881714,1.7524345042705531
21,0.6389999985694885,1.7535347490310669
22,0.5974999666213989,1.7505284533500673
23,0.6911999583244324,1.7587139737606048
24,0.6229000091552734,1.752575704574585
25,0.6274999976158142,1.7534221334457398
26,0.6008999943733215,1.7526453649997715
27,0.5857999920845032,1.7514336116313933
28,0.5417999625205994,1.7509587175846102
29,0.652899980545044,1.7512952466011047
30,0.6715999841690063,1.7555115369558334
31,0.44739997386932373,1.7513456569910049
32,0.5090999603271484,1.75116921210289
33,0.6621999740600586,1.7528588335514068
34,0.5827000141143799,1.7505812722444534
35,0.5949000120162964,1.7515209299325945
36,0.5910999774932861,1.7528039588928226
37,0.6365999579429626,1.752217507481575
38,0.47099998593330383,1.7519138964414598
39,0.6550999879837036,1.7542526601552961
40,0.6474999785423279,1.7523930934667586
41,0.5573999881744385,1.751387403845787
42,0.5692999958992004,1.7505374342203144
43,0.5916999578475952,1.7528430022001265
44,0.48429998755455017,1.7505321563482286
45,0.6110999584197998,1.7527820088863373
46,0.6620000004768372,1.7522042607069017
47,0.599299967288971,1.7524263558387756
48,0.5292999744415283,1.7489139192104342
49,0.4781999886035919,1.751250485062599
50,0.5981999635696411,1.7519654743671418
51,0.5794000029563904,1.7501011080741884
52,0.6664999723434448,1.752433124303818
53,0.5464999675750732,1.7513546411991123
54,0.4666000008583069,1.7494090608358384
55,0.4912000000476837,1.750718041300774
56,0.6074999570846558,1.7516943818330766
57,0.5134999752044678,1.7515786573886871
58,0.6193000078201294,1.7530927081108092
59,0.6252999901771545,1.7527326561212537
60,0.5198000073432922,1.752617832779884
61,0.6347000002861023,1.7514593353271486
62,0.4927999973297119,1.7504961068630216
63,0.5778999924659729,1.7526666752099986
64,0.4696999788284302,1.751125057697296
65,0.6297000050544739,1.7536016255617144
66,0.5425999760627747,1.7521866848468783
67,0.6583999991416931,1.7538108760118487
68,0.5256999731063843,1.7517487491369244
69,0.600600004196167,1.7524617712497716
70,0.6013999581336975,1.7523419846296309
71,0.6046000123023987,1.7534640506505967
72,0.48989999294281006,1.7496300090551375
73,0.5030999779701233,1.7517645024061204
74,0.5827999711036682,1.7530002336502075
75,0.7125999927520752,1.7535099176168443
76,0.5565999746322632,1.7778185361623764
77,0.5985000133514404,1.7533887029886248
78,0.5324000120162964,1.82156608581543
79,0.6065999865531921,1.7524122749567033
80,0.5781999826431274,1.7552369036674502
81,0.6450999975204468,1.7537449550628663
82,0.580299973487854,1.8047090789079665
83,0.5471000075340271,1.7525328705310823
84,0.5112999677658081,1.7522489023208618
85,0.5525999665260315,1.7520876606702807
86,0.5720999836921692,1.7516877301931382
87,0.5029000043869019,1.8300384902954103
88,0.6514999866485596,1.7537806352376937
89,0.47929999232292175,1.7518562331199645
90,0.4632999897003174,1.7517859897613528
91,0.604699969291687,1.7530420641899112
92,0.6821999549865723,1.7530342193841935
93,0.6067000031471252,1.7509111809730533
94,0.6530999541282654,1.7508400266170503
95,0.5392999649047852,1.7496076518297197
96,0.611299991607666,1.7514993773698806
97,0.6699999570846558,1.7538563452959062
98,0.5983999967575073,1.7530260353088378
99,0.48019999265670776,1.7537408894300464
