experiment,step,total_steps,split,loss,train_time_ms,step_avg_ms
,,,train,,,
,{step},{args.num_iterations},val,{val_loss,,
,{step},{args.num_iterations},val,{val_loss,,
,,,train,,,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,146,5100,train,4.7883,149456,1098.94
,147,5100,train,4.7744,150555,1098.94
,148,5100,train,4.8531,151655,1098.95
,149,5100,train,4.9526,152754,1098.95
,150,5100,train,4.9753,153853,1098.95
,151,5100,train,4.7439,154948,1098.92
,152,5100,train,4.7176,156045,1098.91
,153,5100,train,4.6252,157140,1098.88
,154,5100,train,4.8520,158234,1098.85
,155,5100,train,4.9145,159334,1098.86
,156,5100,train,4.8488,160434,1098.86
,157,5100,train,4.8104,161533,1098.86
,158,5100,train,4.7103,162633,1098.87
,159,5100,train,4.7449,163738,1098.91
,160,5100,train,4.7646,164840,1098.93
,161,5100,train,4.6877,165939,1098.94
,162,5100,train,4.7283,167039,1098.94
,163,5100,train,4.6687,168141,1098.96
,164,5100,train,4.6504,169239,1098.96
,165,5100,train,4.6129,170340,1098.97
,166,5100,train,4.8183,171443,1098.99
,167,5100,train,4.5598,172542,1098.99
,168,5100,train,4.6034,173638,1098.98
,169,5100,train,4.6976,174736,1098.97
,170,5100,train,4.6869,175833,1098.96
,171,5100,train,4.7099,176934,1098.97
,172,5100,train,4.9545,178035,1098.98
,173,5100,train,4.6228,179137,1099.00
,174,5100,train,4.7117,180235,1098.99
,175,5100,train,4.8797,181336,1099.01
,176,5100,train,4.7448,182434,1099.00
,177,5100,train,4.7562,183535,1099.01
,178,5100,train,4.8099,184632,1099.00
,179,5100,train,4.6394,185732,1099.01
,180,5100,train,4.7254,186830,1099.00
,181,5100,train,4.6023,187926,1098.98
,182,5100,train,4.7656,189017,1098.94
,183,5100,train,4.6418,190114,1098.92
,184,5100,train,4.6254,191213,1098.92
,185,5100,train,4.6786,192310,1098.91
,186,5100,train,4.6183,193402,1098.88
,187,5100,train,4.8756,194497,1098.85
,188,5100,train,4.6383,195594,1098.84
