experiment,step,total_steps,split,loss,train_time_ms,step_avg_ms
,,,train,,,
,{step},{args.num_iterations},val,{val_loss,,
,{step},{args.num_iterations},val,{val_loss,,
,,,train,,,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,146,5100,train,5.1076,152750,1123.16
,147,5100,train,5.0969,153874,1123.17
,148,5100,train,5.1794,155010,1123.26
,149,5100,train,5.2596,156131,1123.24
,150,5100,train,5.3155,157274,1123.39
,151,5100,train,5.0530,158395,1123.37
,152,5100,train,5.0393,159529,1123.45
,153,5100,train,4.9449,160653,1123.45
,154,5100,train,5.1684,161790,1123.54
,155,5100,train,5.2080,162912,1123.53
,156,5100,train,5.1795,164048,1123.62
,157,5100,train,5.1162,165165,1123.57
,158,5100,train,5.0324,166297,1123.63
,159,5100,train,5.0384,167415,1123.59
,160,5100,train,5.0670,168549,1123.66
,161,5100,train,4.9677,169667,1123.62
,162,5100,train,5.0411,170809,1123.74
,163,5100,train,4.9725,171925,1123.69
,164,5100,train,4.9486,173057,1123.75
,165,5100,train,4.9168,174174,1123.70
,166,5100,train,5.1158,175309,1123.77
,167,5100,train,4.8571,176432,1123.77
,168,5100,train,4.9166,177569,1123.85
,169,5100,train,4.9920,178691,1123.85
,170,5100,train,4.9911,179829,1123.93
,171,5100,train,5.0155,180951,1123.92
,172,5100,train,5.2348,182090,1124.01
,173,5100,train,4.9190,183215,1124.02
,174,5100,train,5.0216,184349,1124.08
,175,5100,train,5.1834,185472,1124.07
,176,5100,train,5.0420,186609,1124.15
,177,5100,train,5.0423,187728,1124.12
,178,5100,train,5.1277,188867,1124.21
,179,5100,train,4.9328,189976,1124.12
,180,5100,train,5.0282,191112,1124.19
,181,5100,train,4.8873,192222,1124.11
,182,5100,train,5.0633,193365,1124.22
,183,5100,train,4.9454,194478,1124.15
,184,5100,train,4.9250,195611,1124.20
,185,5100,train,4.9643,196731,1124.18
,186,5100,train,4.9024,197868,1124.25
,187,5100,train,5.1907,198989,1124.23
,188,5100,train,4.9297,200128,1124.32
,189,5100,train,4.5759,201240,1124.25
,190,5100,train,4.7849,202370,1124.28
,191,5100,train,4.9165,203569,1124.69
,192,5100,train,4.9028,204705,1124.75
,193,5100,train,4.4564,205817,1124.69
,194,5100,train,5.0434,206952,1124.74
,195,5100,train,4.8034,208074,1124.72
,196,5100,train,4.9388,209208,1124.78
