experiment,step,total_steps,split,loss,train_time_ms,step_avg_ms
,,,train,,,
,{step},{args.num_iterations},val,{val_loss,,
,{step},{args.num_iterations},val,{val_loss,,
,,,train,,,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,146,5100,train,4.7865,150471,1106.41
,147,5100,train,4.7734,151574,1106.38
,148,5100,train,4.8510,152675,1106.34
,149,5100,train,4.9486,153776,1106.31
,150,5100,train,4.9738,154885,1106.32
,151,5100,train,4.7248,155991,1106.32
,152,5100,train,4.7038,157094,1106.30
,153,5100,train,4.6308,158194,1106.25
,154,5100,train,4.8449,159294,1106.21
,155,5100,train,4.9070,160396,1106.18
,156,5100,train,4.8419,161500,1106.17
,157,5100,train,4.8147,162606,1106.16
,158,5100,train,4.7021,163714,1106.18
,159,5100,train,4.7371,164816,1106.15
,160,5100,train,4.7568,165926,1106.17
,161,5100,train,4.6741,167033,1106.18
,162,5100,train,4.7228,168139,1106.18
,163,5100,train,4.6508,169247,1106.19
,164,5100,train,4.6473,170353,1106.19
,165,5100,train,4.5998,171456,1106.17
,166,5100,train,4.8088,172566,1106.19
,167,5100,train,4.5544,173679,1106.24
,168,5100,train,4.5971,174792,1106.28
,169,5100,train,4.6863,175898,1106.28
,170,5100,train,4.6848,177012,1106.32
,171,5100,train,4.7025,178116,1106.31
,172,5100,train,4.9439,179241,1106.42
,173,5100,train,4.6108,180358,1106.49
,174,5100,train,4.6972,181475,1106.56
,175,5100,train,4.8667,182608,1106.71
,176,5100,train,4.7347,183720,1106.75
,177,5100,train,4.7491,184834,1106.79
,178,5100,train,4.8051,185937,1106.77
,179,5100,train,4.6379,187043,1106.77
,180,5100,train,4.7170,188152,1106.78
,181,5100,train,4.5847,189253,1106.74
,182,5100,train,4.7546,190352,1106.70
,183,5100,train,4.6264,191457,1106.69
,184,5100,train,4.6249,192565,1106.70
,185,5100,train,4.6749,193669,1106.68
,186,5100,train,4.6097,194772,1106.66
,187,5100,train,4.8743,195873,1106.62
,188,5100,train,4.6308,196977,1106.61
,189,5100,train,4.3270,198076,1106.57
,190,5100,train,4.4793,199175,1106.53
,191,5100,train,4.6049,200389,1107.12
,192,5100,train,4.5944,201492,1107.10
,193,5100,train,4.2257,202593,1107.07
,194,5100,train,4.7349,203697,1107.05
,195,5100,train,4.5020,204801,1107.03
,196,5100,train,4.6044,205904,1107.01
,197,5100,train,4.5493,207008,1106.99
,198,5100,train,4.6516,208112,1106.98
,199,5100,train,4.4733,209213,1106.95
,200,5100,train,4.7107,210313,1106.91
,201,5100,train,4.6203,211413,1106.87
,202,5100,train,4.5443,212512,1106.83
,203,5100,train,4.7936,213613,1106.80
,204,5100,train,4.6621,214715,1106.78
,205,5100,train,4.6874,215814,1106.74
,206,5100,train,4.3552,216916,1106.72
,207,5100,train,4.5955,218023,1106.72
,208,5100,train,4.6799,219139,1106.76
,209,5100,train,4.5162,220254,1106.80
,210,5100,train,4.5217,221364,1106.82
,211,5100,train,4.4420,222476,1106.84
,212,5100,train,4.4499,223583,1106.85
,213,5100,train,4.6331,224698,1106.89
,214,5100,train,4.5556,225799,1106.86
,215,5100,train,4.5035,226906,1106.86
,216,5100,train,4.4114,228012,1106.85
,217,5100,train,4.5357,229114,1106.83
,218,5100,train,4.6060,230218,1106.82
,219,5100,train,4.4599,231320,1106.80
,220,5100,train,4.4396,232422,1106.77
,221,5100,train,4.3928,233518,1106.72
,222,5100,train,4.3986,234614,1106.67
,223,5100,train,4.6267,235711,1106.62
,224,5100,train,4.4042,236813,1106.60
,225,5100,train,4.6065,237912,1106.57
,226,5100,train,4.3451,239013,1106.54
,227,5100,train,4.3829,240117,1106.53
,228,5100,train,4.4728,241222,1106.52
,229,5100,train,4.5088,242334,1106.55
,230,5100,train,4.4611,243446,1106.57
,231,5100,train,4.3944,244552,1106.57
,232,5100,train,4.4804,245653,1106.54
,233,5100,train,4.4524,246752,1106.51
