experiment,step,total_steps,split,loss,train_time_ms,step_avg_ms
,,,train,,,
,{step},{args.num_iterations},val,{val_loss,,
,{step},{args.num_iterations},val,{val_loss,,
,,,train,,,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,152,200,train,5.6517,156336,1100.96
,153,200,train,5.4680,157435,1100.95
,154,200,train,5.7346,158543,1100.99
,155,200,train,5.7713,159638,1100.95
,156,200,train,5.8085,160736,1100.93
,157,200,train,5.7236,161835,1100.92
,158,200,train,5.6158,162947,1101.00
,159,200,train,5.5879,164044,1100.97
,160,200,train,5.6364,165137,1100.91
,161,200,train,5.5472,166236,1100.90
,162,200,train,5.6475,167333,1100.87
,163,200,train,5.5863,168433,1100.87
,164,200,train,5.5375,169534,1100.87
,165,200,train,5.4791,170633,1100.86
,166,200,train,5.7251,171734,1100.86
,167,200,train,5.4269,172834,1100.85
,168,200,train,5.5786,173933,1100.84
,169,200,train,5.6402,175034,1100.85
,170,200,train,5.6238,176134,1100.84
,171,200,train,5.5815,177235,1100.84
,172,200,train,5.8425,178334,1100.83
,173,200,train,5.5288,179435,1100.83
,174,200,train,5.7017,180534,1100.82
,175,200,train,5.8282,181635,1100.82
,176,200,train,5.6188,182735,1100.81
,177,200,train,5.6450,183836,1100.82
,178,200,train,5.8407,184936,1100.81
,179,200,train,5.5861,186039,1100.82
,180,200,train,5.6777,187137,1100.81
,181,200,train,5.4978,188236,1100.79
,182,200,train,5.7216,189335,1100.78
,183,200,train,5.6281,190466,1100.96
,184,200,train,5.5317,191571,1100.98
,185,200,train,5.5718,192674,1101.00
,186,200,train,5.5154,193776,1101.00
,187,200,train,5.7779,194877,1101.00
,188,200,train,5.6438,195978,1101.00
,189,200,train,5.0935,197077,1100.99
,190,200,train,5.4743,198177,1100.98
,191,200,train,5.5970,199380,1101.55
,192,200,train,5.5567,200479,1101.53
,193,200,train,4.9023,201582,1101.54
,194,200,train,5.7275,202686,1101.55
,195,200,train,5.4564,203793,1101.58
,196,200,train,5.6637,204895,1101.59
,197,200,train,5.5623,205996,1101.58
,198,200,train,5.6320,207097,1101.58
,199,200,train,5.5214,208200,1101.59
,200,200,train,5.7020,209306,1101.61
,200,200,val,5.6127,209306,1101.61
