experiment,step,total_steps,split,loss,train_time_ms,step_avg_ms
,,,train,,,
,{step},{args.num_iterations},val,{val_loss,,
,{step},{args.num_iterations},val,{val_loss,,
,,,train,,,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,146,5100,train,5.5406,149663,1100.46
,147,5100,train,5.5261,150762,1100.45
,148,5100,train,5.5947,151876,1100.55
,149,5100,train,5.6647,152968,1100.49
,150,5100,train,5.7263,154063,1100.45
,151,5100,train,5.4752,155160,1100.42
,152,5100,train,5.4661,156283,1100.58
,153,5100,train,5.3680,157378,1100.55
,154,5100,train,5.6163,158480,1100.56
,155,5100,train,5.6512,159579,1100.55
,156,5100,train,5.6095,160695,1100.65
,157,5100,train,5.5472,161789,1100.61
,158,5100,train,5.4844,162887,1100.59
,159,5100,train,5.4485,163980,1100.54
,160,5100,train,5.4820,165092,1100.61
,161,5100,train,5.4221,166184,1100.56
,162,5100,train,5.4971,167281,1100.53
,163,5100,train,5.4191,168378,1100.51
,164,5100,train,5.3722,169491,1100.59
,165,5100,train,5.3402,170582,1100.53
,166,5100,train,5.5545,171679,1100.51
,167,5100,train,5.2877,172780,1100.51
,168,5100,train,5.3482,173893,1100.59
,169,5100,train,5.4282,174984,1100.53
,170,5100,train,5.4409,176080,1100.50
,171,5100,train,5.4491,177178,1100.48
,172,5100,train,5.6332,178292,1100.57
,173,5100,train,5.3622,179388,1100.54
,174,5100,train,5.4850,180485,1100.52
,175,5100,train,5.6105,181582,1100.50
,176,5100,train,5.4407,182696,1100.58
,177,5100,train,5.4655,183790,1100.54
,178,5100,train,5.5829,184883,1100.49
,179,5100,train,5.3836,185980,1100.48
,180,5100,train,5.4440,187093,1100.54
,181,5100,train,5.3004,188186,1100.50
,182,5100,train,5.5034,189281,1100.47
,183,5100,train,5.3871,190381,1100.47
,184,5100,train,5.3189,191497,1100.56
,185,5100,train,5.3741,192600,1100.57
,186,5100,train,5.3226,193700,1100.57
,187,5100,train,5.5791,194802,1100.58
,188,5100,train,5.3312,195943,1100.80
,189,5100,train,4.9578,197040,1100.78
,190,5100,train,5.2304,198142,1100.79
,191,5100,train,5.3223,199498,1102.20
,192,5100,train,5.3025,200609,1102.25
,193,5100,train,4.7540,201704,1102.21
,194,5100,train,5.4796,202801,1102.18
,195,5100,train,5.2056,203898,1102.15
,196,5100,train,5.3634,205010,1102.20
,197,5100,train,5.3021,206103,1102.16
,198,5100,train,5.3803,207200,1102.13
,199,5100,train,5.1992,208299,1102.11
,200,5100,train,5.3866,209410,1102.16
,201,5100,train,5.3284,210503,1102.11
,202,5100,train,5.2606,211600,1102.08
,203,5100,train,5.4971,212697,1102.05
,204,5100,train,5.3745,213813,1102.13
,205,5100,train,5.4180,214905,1102.07
,206,5100,train,5.1208,216001,1102.05
,207,5100,train,5.3271,217099,1102.03
,208,5100,train,5.3925,218210,1102.07
,209,5100,train,5.2672,219303,1102.02
,210,5100,train,5.2894,220400,1102.00
,211,5100,train,5.1737,221497,1101.98
,212,5100,train,5.2161,222609,1102.03
,213,5100,train,5.3720,223702,1101.98
,214,5100,train,5.3123,224799,1101.95
,215,5100,train,5.2584,225897,1101.93
,216,5100,train,5.1217,227013,1102.01
,217,5100,train,5.2805,228104,1101.95
,218,5100,train,5.3695,229199,1101.92
,219,5100,train,5.2314,230297,1101.90
,220,5100,train,5.1906,231408,1101.94
,221,5100,train,5.1611,232502,1101.90
,222,5100,train,5.1882,233598,1101.88
,223,5100,train,5.3232,234698,1101.87
,224,5100,train,5.1254,235843,1102.07
,225,5100,train,5.3473,236936,1102.03
,226,5100,train,5.1168,238032,1102.00
,227,5100,train,5.1816,239123,1101.95
,228,5100,train,5.2375,240250,1102.06
,229,5100,train,5.2656,241343,1102.02
,230,5100,train,5.2470,242440,1102.00
,231,5100,train,5.1467,243536,1101.97
,232,5100,train,5.2420,244652,1102.04
,233,5100,train,5.2625,245745,1102.00
,234,5100,train,5.0417,246841,1101.97
,235,5100,train,5.1952,247939,1101.95
,236,5100,train,5.2824,249053,1102.00
,237,5100,train,4.9950,250145,1101.96
,238,5100,train,5.2151,251240,1101.93
,239,5100,train,5.1466,252339,1101.92
,240,5100,train,5.0411,253451,1101.96
,241,5100,train,5.2572,254544,1101.92
,242,5100,train,4.9954,255636,1101.88
,243,5100,train,5.1421,256725,1101.82
,244,5100,train,5.2365,257834,1101.85
,245,5100,train,5.0267,258924,1101.81
,246,5100,train,5.1514,260019,1101.78
,247,5100,train,5.1031,261119,1101.77
,248,5100,train,5.1769,262231,1101.81
,249,5100,train,4.9851,263324,1101.77
,250,5100,train,5.1516,264420,1101.75
,250,5100,val,5.1196,264421,1101.75
,251,5100,train,5.0503,265517,1101.73
,252,5100,train,5.2466,266663,1101.92
,253,5100,train,5.1059,267756,1101.88
,254,5100,train,5.1397,268852,1101.85
,255,5100,train,5.0536,269950,1101.84
,256,5100,train,5.0854,271089,1101.99
,257,5100,train,4.9790,272179,1101.94
,258,5100,train,5.2733,273274,1101.91
,259,5100,train,5.0126,274369,1101.88
,260,5100,train,5.0252,275480,1101.92
,261,5100,train,5.2141,276572,1101.88
,262,5100,train,5.0331,277667,1101.85
,263,5100,train,5.0747,278766,1101.84
,264,5100,train,5.1195,279875,1101.87
,265,5100,train,4.9487,280972,1101.85
,266,5100,train,5.0758,282070,1101.84
,267,5100,train,4.9536,283164,1101.80
,268,5100,train,5.1855,284275,1101.84
,269,5100,train,5.1911,285371,1101.82
,270,5100,train,5.0215,286467,1101.80
,271,5100,train,5.0547,287567,1101.79
,272,5100,train,5.1271,288675,1101.81
,273,5100,train,5.0464,289771,1101.79
,274,5100,train,4.9547,290867,1101.77
,275,5100,train,5.0405,291966,1101.76
,276,5100,train,5.1462,293082,1101.81
,277,5100,train,5.0029,294173,1101.77
,278,5100,train,4.9794,295271,1101.76
,279,5100,train,4.9313,296368,1101.74
,280,5100,train,4.9247,297478,1101.77
,281,5100,train,5.1878,298570,1101.74
,282,5100,train,5.2519,299667,1101.72
,283,5100,train,4.9722,300767,1101.71
,284,5100,train,4.7605,301879,1101.75
,285,5100,train,4.9927,302971,1101.71
,286,5100,train,5.2144,304068,1101.70
,287,5100,train,5.0312,305164,1101.68
,288,5100,train,4.9773,306311,1101.84
,289,5100,train,4.9539,307401,1101.79
,290,5100,train,4.8415,308494,1101.77
,291,5100,train,5.0971,309591,1101.75
,292,5100,train,5.0117,310722,1101.85
,293,5100,train,5.0211,311815,1101.82
,294,5100,train,4.9599,312912,1101.80
,295,5100,train,5.0078,314009,1101.79
,296,5100,train,5.1059,315121,1101.82
,297,5100,train,5.1264,316213,1101.79
,298,5100,train,5.1018,317311,1101.77
,299,5100,train,5.0335,318408,1101.76
,300,5100,train,4.9279,319520,1101.79
,301,5100,train,5.0494,320614,1101.77
,302,5100,train,4.9997,321710,1101.75
,303,5100,train,4.9513,322807,1101.73
,304,5100,train,4.8934,323919,1101.77
,305,5100,train,4.8121,325011,1101.73
,306,5100,train,5.0352,326107,1101.71
,307,5100,train,5.1019,327199,1101.68
,308,5100,train,5.0342,328307,1101.70
,309,5100,train,4.8513,329399,1101.67
,310,5100,train,4.9887,330492,1101.64
,311,5100,train,4.8668,331589,1101.63
,312,5100,train,4.9047,332702,1101.66
,313,5100,train,4.9413,333793,1101.63
,314,5100,train,4.8787,334889,1101.61
,315,5100,train,4.8596,335986,1101.59
,316,5100,train,4.8001,337094,1101.61
,317,5100,train,4.8218,338190,1101.60
,318,5100,train,4.8444,339287,1101.58
,319,5100,train,4.8604,340378,1101.55
,320,5100,train,4.9829,341486,1101.57
,321,5100,train,4.9133,342579,1101.54
,322,5100,train,4.7933,343673,1101.52
,323,5100,train,4.9943,344767,1101.49
,324,5100,train,5.1370,345877,1101.52
,325,5100,train,4.9642,346971,1101.50
,326,5100,train,4.9085,348069,1101.49
,327,5100,train,4.9459,349167,1101.47
,328,5100,train,4.9249,350320,1101.63
,329,5100,train,4.7783,351412,1101.60
,330,5100,train,4.9294,352510,1101.59
,331,5100,train,4.9399,353611,1101.59
,332,5100,train,4.7805,354725,1101.63
,333,5100,train,4.8983,355815,1101.60
,334,5100,train,4.7892,356911,1101.58
,335,5100,train,4.7808,358006,1101.56
,336,5100,train,4.9635,359120,1101.60
,337,5100,train,5.4512,360213,1101.57
,338,5100,train,4.9073,361312,1101.56
,339,5100,train,4.9510,362410,1101.55
,340,5100,train,4.8414,363523,1101.58
,341,5100,train,5.0029,364613,1101.55
,342,5100,train,4.8176,365710,1101.53
,343,5100,train,5.2286,366806,1101.52
,344,5100,train,4.9133,367919,1101.55
,345,5100,train,4.7525,369013,1101.53
,346,5100,train,4.7718,370106,1101.51
,347,5100,train,4.8747,371199,1101.48
,348,5100,train,4.8119,372307,1101.50
,349,5100,train,4.8745,373399,1101.47
,350,5100,train,4.8051,374493,1101.45
,351,5100,train,4.7217,375587,1101.43
,352,5100,train,4.9549,376699,1101.46
,353,5100,train,4.7081,377791,1101.43
,354,5100,train,4.9218,378887,1101.42
,355,5100,train,4.9988,379980,1101.39
,356,5100,train,4.7236,381087,1101.41
,357,5100,train,4.7841,382176,1101.37
,358,5100,train,5.0083,383269,1101.35
,359,5100,train,4.7649,384364,1101.33
,360,5100,train,4.7443,385478,1101.36
,361,5100,train,4.7961,386570,1101.34
,362,5100,train,4.6731,387667,1101.33
,363,5100,train,4.7843,388762,1101.31
,364,5100,train,4.7801,389896,1101.40
,365,5100,train,4.7701,390987,1101.37
,366,5100,train,4.8407,392078,1101.34
,367,5100,train,4.7323,393172,1101.32
,368,5100,train,4.8239,394282,1101.35
,369,5100,train,4.7553,395372,1101.31
,370,5100,train,4.6264,396467,1101.30
,371,5100,train,4.9787,397565,1101.29
,372,5100,train,4.7446,398672,1101.30
,373,5100,train,4.9629,399762,1101.27
,374,5100,train,4.8027,400854,1101.25
,375,5100,train,4.7776,401949,1101.23
,375,5100,val,4.7707,401950,1101.23
,376,5100,train,4.9682,403059,1101.25
,377,5100,train,4.5978,404156,1101.24
,378,5100,train,4.8238,405248,1101.22
,379,5100,train,4.8606,406340,1101.19
,380,5100,train,4.7799,407451,1101.22
,381,5100,train,4.7723,408545,1101.20
,382,5100,train,4.7436,409751,1101.48
,383,5100,train,4.6829,410855,1101.49
,384,5100,train,4.7577,411969,1101.52
,385,5100,train,4.6266,413061,1101.50
,386,5100,train,4.8187,414157,1101.48
,387,5100,train,4.6562,415256,1101.48
,388,5100,train,4.8208,416365,1101.50
,389,5100,train,4.7677,417458,1101.47
,390,5100,train,4.7956,418556,1101.46
,391,5100,train,4.6860,419652,1101.45
,392,5100,train,4.7558,420798,1101.57
,393,5100,train,4.7012,421893,1101.55
,394,5100,train,4.7442,422987,1101.53
,395,5100,train,4.7097,424080,1101.51
,396,5100,train,4.7497,425224,1101.62
,397,5100,train,4.4943,426311,1101.58
,398,5100,train,4.7234,427401,1101.55
,399,5100,train,4.7063,428497,1101.53
,400,5100,train,4.6779,429608,1101.56
,401,5100,train,4.7833,430699,1101.53
,402,5100,train,4.6804,431794,1101.52
,403,5100,train,4.9749,432890,1101.50
,404,5100,train,4.9246,433995,1101.51
,405,5100,train,4.7615,435085,1101.48
,406,5100,train,4.7669,436178,1101.46
,407,5100,train,4.6934,437275,1101.45
,408,5100,train,4.6244,438379,1101.46
,409,5100,train,4.7633,439474,1101.44
,410,5100,train,4.6360,440568,1101.42
,411,5100,train,4.7155,441659,1101.39
,412,5100,train,4.6660,442772,1101.42
,413,5100,train,4.6788,443861,1101.39
,414,5100,train,4.7511,444957,1101.38
,415,5100,train,4.6468,446050,1101.36
,416,5100,train,4.6354,447156,1101.37
,417,5100,train,4.7926,448244,1101.34
,418,5100,train,4.5307,449338,1101.32
,419,5100,train,4.8280,450434,1101.30
,420,5100,train,4.8559,451542,1101.32
,421,5100,train,4.6979,452634,1101.30
,422,5100,train,4.7837,453729,1101.28
,423,5100,train,4.5202,454820,1101.26
,424,5100,train,4.5972,455928,1101.28
,425,5100,train,4.5267,457021,1101.25
,426,5100,train,4.7271,458114,1101.24
,427,5100,train,4.7286,459208,1101.22
,428,5100,train,4.5729,460353,1101.32
,429,5100,train,4.7316,461444,1101.30
,430,5100,train,4.5972,462539,1101.28
,431,5100,train,4.5180,463636,1101.27
,432,5100,train,4.6917,464772,1101.35
,433,5100,train,4.7263,465862,1101.33
,434,5100,train,4.7190,466957,1101.31
,435,5100,train,4.5990,468056,1101.31
,436,5100,train,4.6804,469172,1101.34
,437,5100,train,4.7656,470266,1101.33
,438,5100,train,4.6869,471360,1101.31
,439,5100,train,4.7218,472457,1101.30
,440,5100,train,4.5670,473569,1101.32
,441,5100,train,4.6381,474661,1101.30
,442,5100,train,4.6622,475758,1101.29
,443,5100,train,4.4975,476856,1101.28
,444,5100,train,4.7112,477964,1101.30
,445,5100,train,4.8606,479058,1101.28
,446,5100,train,4.5039,480154,1101.27
,447,5100,train,4.6858,481254,1101.27
,448,5100,train,4.6452,482371,1101.30
,449,5100,train,4.5360,483461,1101.28
,450,5100,train,4.5623,484559,1101.27
,451,5100,train,4.6453,485658,1101.26
,452,5100,train,4.9043,486773,1101.30
,453,5100,train,4.7987,487869,1101.28
,454,5100,train,4.6200,488961,1101.26
,455,5100,train,4.5423,490058,1101.25
,456,5100,train,4.6593,491171,1101.28
,457,5100,train,4.6677,492265,1101.26
,458,5100,train,4.6598,493359,1101.25
,459,5100,train,4.6692,494455,1101.24
,460,5100,train,4.5465,495563,1101.25
,461,5100,train,4.6534,496658,1101.24
,462,5100,train,4.6643,497756,1101.23
,463,5100,train,4.4039,498855,1101.22
,464,5100,train,4.5859,499960,1101.23
,465,5100,train,4.6754,501057,1101.22
,466,5100,train,4.5763,502155,1101.22
,467,5100,train,4.5615,503255,1101.22
,468,5100,train,4.5546,504364,1101.23
,469,5100,train,4.7383,505457,1101.21
,470,5100,train,4.6215,506555,1101.21
,471,5100,train,4.4413,507647,1101.19
,472,5100,train,4.6388,508785,1101.27
,473,5100,train,4.5149,509880,1101.25
,474,5100,train,4.6406,510979,1101.25
,475,5100,train,4.6477,512078,1101.24
,476,5100,train,4.8054,513199,1101.29
,477,5100,train,4.6480,514296,1101.28
,478,5100,train,4.6743,515395,1101.27
,479,5100,train,4.5535,516494,1101.27
,480,5100,train,4.4497,517625,1101.33
,481,5100,train,4.5999,518717,1101.31
,482,5100,train,4.7276,519814,1101.30
,483,5100,train,4.5831,520911,1101.29
,484,5100,train,4.6257,522024,1101.32
,485,5100,train,4.5978,523118,1101.30
,486,5100,train,4.4417,524216,1101.29
,487,5100,train,4.6098,525316,1101.29
,488,5100,train,4.5643,526434,1101.33
,489,5100,train,4.5459,527525,1101.31
,490,5100,train,4.7572,528619,1101.29
,491,5100,train,4.5745,529718,1101.29
,492,5100,train,4.4648,530835,1101.32
,493,5100,train,4.6441,531923,1101.29
,494,5100,train,4.4304,533018,1101.28
,495,5100,train,4.5564,534116,1101.27
,496,5100,train,4.7394,535228,1101.29
,497,5100,train,4.5645,536321,1101.28
,498,5100,train,4.5601,537417,1101.26
,499,5100,train,4.5247,538513,1101.25
,500,5100,train,4.6505,539625,1101.28
,500,5100,val,4.5540,539626,1101.28
,501,5100,train,4.5375,540722,1101.27
,502,5100,train,4.4490,541820,1101.26
,503,5100,train,4.5631,542914,1101.25
,504,5100,train,4.4401,544025,1101.27
,505,5100,train,4.8009,545124,1101.26
