run,final_val_acc,total_time_seconds
0,0.9373999834060669,7.071202903747559
1,0.9359999895095825,1.9864177597761152
2,0.9372999668121338,1.986681702375412
3,0.9386999607086182,1.986191434144974
4,0.9365999698638916,1.988100786447525
5,0.9366999864578247,1.9870133497714995
6,0.9345999956130981,1.987017019033432
7,0.9340999722480774,1.986789342880249
8,0.9368999600410461,1.9868604552745819
9,0.9381999969482422,1.9868144748210907
10,0.9371999502182007,1.9837529665231708
11,0.935699999332428,1.9825766959190374
12,0.9375999569892883,1.9823769083023068
13,0.939799964427948,1.9829286543130875
14,0.9380999803543091,1.9835292323827745
15,0.9378999471664429,1.9824536412954332
16,0.9378999471664429,1.9826158398389817
17,0.9357999563217163,1.9833041548728945
18,0.9372999668121338,1.9824625014066697
19,0.9350999593734741,1.982715074777603
20,0.9346999526023865,1.9823651230335235
21,0.9371999502182007,1.9833524479866027
22,0.9371999502182007,1.982679167151451
23,0.9359999895095825,1.9829999141693115
24,0.9404000043869019,1.983114879488945
25,0.9389999508857727,1.9831767574548722
26,0.9375999569892883,1.9831445462703705
27,0.9393999576568604,1.9834572002887731
28,0.9359999895095825,1.9830576791763306
29,0.9381999969482422,1.9822924014329912
30,0.9370999932289124,1.9828214287757873
31,0.9363999962806702,1.982880255460739
32,0.9370999932289124,1.984100789785385
33,0.9366999864578247,1.9828051251173018
34,0.9346999526023865,1.9831713328361509
35,0.9370999932289124,1.982877446770668
36,0.9351999759674072,1.9822041097879408
37,0.9370999932289124,1.9826121151447296
38,0.9375999569892883,1.9826775423288348
39,0.9376999735832214,1.9830589106082919
40,0.9364999532699585,1.9830663112401963
41,0.9363999962806702,1.9834897572994235
42,0.937999963760376,1.9834182806015015
43,0.9390999674797058,1.9829340708255767
44,0.9373999834060669,1.9830900205373765
45,0.9365999698638916,1.9833455146551133
46,0.9375999569892883,1.9832494883537293
47,0.9388999938964844,1.9824771242141723
48,0.9348999857902527,1.9831764286756515
49,0.9370999932289124,1.985304795742035
50,0.9364999532699585,1.9848529329299927
51,0.9380999803543091,1.9843884816169741
52,0.9339999556541443,1.9915112305879594
53,0.937999963760376,1.98249495780468
54,0.9376999735832214,1.9801330293416977
55,0.935699999332428,1.9828087342977525
56,0.9357999563217163,1.9800690155029295
57,0.9376999735832214,1.9858867558240894
58,0.9373999834060669,1.9832556136846544
59,0.937999963760376,2.0508740844726563
60,0.9381999969482422,1.981800958395004
61,0.937999963760376,1.9801493990421297
62,0.9363999962806702,1.9808528183698655
63,0.9341999888420105,1.9810953522920611
64,0.9375999569892883,1.9810139042139054
65,0.9375,1.9823562051057817
66,0.9372999668121338,1.9808707802295684
67,0.9362999796867371,1.9842902973890304
68,0.9354999661445618,1.9806343547105791
69,0.935699999332428,1.9849625093936918
70,0.9376999735832214,1.9880626224279403
71,0.937999963760376,1.984513050079346
72,0.9355999827384949,1.9832938771247866
73,0.9366999864578247,1.9843260536193847
74,0.9370999932289124,1.99315627348423
75,0.9364999532699585,1.991366852879524
76,0.9368999600410461,1.9809664044380189
77,0.9384999871253967,1.9812686450481414
78,0.9359999895095825,1.9808671799898148
79,0.9368000030517578,1.9811215443611145
80,0.9387999773025513,1.980328534603119
81,0.9365999698638916,1.9807164303064348
82,0.9364999532699585,1.9804702141284942
83,0.9386000037193298,1.9803446230888369
84,0.9362999796867371,1.9800002179145813
85,0.9368999600410461,1.9809732162952423
86,0.9362999796867371,1.9834184935092931
87,0.9381999969482422,1.9830689145326619
88,0.9370999932289124,1.9831868185997008
89,0.9376999735832214,1.9834300673007965
90,0.9357999563217163,1.983090862393379
91,0.9354999661445618,1.9832879730463029
92,0.9353999495506287,1.9832748082876206
93,0.9383999705314636,2.04920746421814
94,0.9386000037193298,1.9834056013822556
95,0.9388999938964844,1.983284901022911
96,0.9362999796867371,1.9834709948301317
97,0.9382999539375305,1.9844381253719332
98,0.9370999932289124,1.9836637880802153
99,0.9357999563217163,1.982022629022598
